iter	Passed	Remaining
581	4917	3531
582	4924	3522
583	4931	3512
584	4938	3503
585	4945	3494
586	4954	3485
587	4961	3476
588	4968	3466
589	4977	3458
590	4983	3448
591	4991	3440
592	4999	3431
593	5007	3422
594	5014	3413
595	5022	3404
596	5030	3395
597	5037	3386
598	5045	3377
599	5053	3368
600	5060	3359
601	5069	3351
602	5077	3342
603	5086	3334
604	5094	3325
605	5101	3317
606	5108	3307
607	5117	3299
608	5124	3290
609	5132	3281
610	5140	3272
611	5148	3264
612	5155	3254
613	5161	3245
614	5169	3236
615	5178	3228
616	5187	3219
617	5194	3210
618	5203	3202
619	5210	3193
620	5219	3185
621	5227	3176
622	5235	3168
623	5244	3159
624	5251	3150
625	5258	3141
626	5266	3133
627	5273	3124
628	5282	3115
629	5290	3107
630	5299	3098
631	5307	3090
632	5315	3082
633	5323	3073
634	5332	3065
635	5339	3056
636	5348	3048
637	5356	3039
638	5364	3030
639	5372	3021
640	5381	3013
641	5388	3004
642	5397	2996
643	5404	2987
644	5413	2979
645	5420	2970
646	5429	2962
647	5436	2952
648	5443	2944
649	5451	2935
650	5458	2926
651	5466	2917
652	5473	2908
653	5481	2900
654	5488	2891
655	5497	2883
656	5506	2874
657	5514	2866
658	5523	2857
659	5530	2849
660	5537	2840
661	5546	2831
662	5553	2822
663	5561	2814
664	5570	2805
665	5578	2797
666	5586	2788
667	5594	2780
668	5601	2771
669	5610	2763
670	5618	2754
671	5627	2746
672	5634	2737
673	5643	2729
674	5650	2720
675	5659	2712
676	5667	2704
677	5676	2696
678	5684	2687
679	5693	2679
680	5700	2670
681	5709	2662
682	5717	2653
683	5725	2644
684	5733	2636
685	5740	2627
686	5748	2619
687	5757	2610
688	5765	2602
689	5774	2594
690	5783	2586
691	5791	2577
692	5799	2569
693	5807	2560
694	5815	2551
695	5822	2543
696	5830	2534
697	5837	2525
698	5844	2516
699	5853	2508
700	5860	2499
701	5868	2491
702	5876	2482
703	5884	2474
704	5891	2465
705	5899	2456
706	5906	2447
707	5913	2439
708	5922	2430
709	5929	2422
710	5938	2413
711	5946	2405
712	5954	2396
713	5962	2388
714	5970	2379
715	5979	2371
716	5986	2362
717	5995	2354
718	6003	2346
719	6012	2338
720	6020	2329
721	6027	2320
722	6035	2312
723	6043	2303
724	6051	2295
725	6059	2286
726	6066	2278
727	6073	2269
728	6081	2260
729	6088	2252
730	6096	2243
731	6103	2234
732	6111	2226
733	6118	2217
734	6125	2208
735	6133	2199
736	6141	2191
737	6150	2183
738	6158	2175
739	6167	2166
740	6174	2158
741	6182	2149
742	6190	2141
743	6199	2133
744	6206	2124
745	6213	2115
746	6221	2107
747	6228	2098
748	6236	2089
749	6244	2081
750	6251	2072
751	6259	2064
752	6267	2055
753	6275	2047
754	6282	2038
755	6290	2030
756	6297	2021
757	6305	2013
758	6312	2004
759	6320	1995
760	6327	1987
761	6335	1978
762	6343	1970
763	6351	1961
764	6360	1953
765	6367	1945
766	6376	1936
767	6383	1928
768	6391	1919
769	6399	1911
770	6407	1903
771	6416	1895
